"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Mantralayam,145,GEN,Visakhapatnam,Y. Balanagi Reddy,Yuvajana Sramika Rythu Congress Party,187041,156429,83.6 %,23879,15.3%
Markapuram,111,GEN,https://www.indiavotes.com/district/ac/272/,Kunduru Nagarjuna Reddy,Yuvajana Sramika Rythu Congress Party,210097,175903,83.7 %,18667,10.6%
Mummidivaram,43,GEN,https://www.indiavotes.com/district/ac/272/,Ponnada Venkata Satish Kumar,Yuvajana Sramika Rythu Congress Party,229597,189745,82.6 %,5547,2.9%
Mydukur,133,GEN,Vizianagaram,Raghurami Reddy Settipally,Yuvajana Sramika Rythu Congress Party,208183,167676,80.5 %,29344,17.5%
Mylavaram,82,GEN,https://www.indiavotes.com/district/ac/272/,Vasantha Venkata Krishna Prasad,Yuvajana Sramika Rythu Congress Party,280513,231685,82.6 %,12653,5.5%
Nagari,170,GEN,East Godavari,R.K. Roja,Yuvajana Sramika Rythu Congress Party,194892,167076,85.7 %,2708,1.6%
Nandigama ,83,SC,https://www.indiavotes.com/district/ac/272/,Monditoka Jagan Mohana Rao,Yuvajana Sramika Rythu Congress Party,195045,169448,86.9 %,10881,6.4%
Nandikotkur ,136,SC,Vizianagaram,Thoguru Arthur,Yuvajana Sramika Rythu Congress Party,197710,170687,86.3 %,40610,23.8%
Nandyal,139,GEN,Visakhapatnam,Shilpa Ravi Chandra Kishore Reddy,Yuvajana Sramika Rythu Congress Party,256932,196481,76.5 %,34560,17.6%
Narasannapeta,8,GEN,https://www.indiavotes.com/district/ac/272/,Dharmana Krishna Das,Yuvajana Sramika Rythu Congress Party,210435,164038,78.0 %,19555,11.9%
Narasapuram,58,GEN,https://www.indiavotes.com/district/ac/272/,Mudunuri Prasada Raju,Yuvajana Sramika Rythu Congress Party,168186,135413,80.5 %,6436,4.8%
Narasaraopet,97,GEN,https://www.indiavotes.com/district/ac/272/,Gopireddy Srinivasareddy,Yuvajana Sramika Rythu Congress Party,221690,182110,82.1 %,32277,17.7%
Narsipatnam,34,GEN,https://www.indiavotes.com/district/ac/272/,Uma Sankara Ganesh Petla,Yuvajana Sramika Rythu Congress Party,210561,168565,80.1 %,23366,13.9%
Nellimarla,17,GEN,https://www.indiavotes.com/district/ac/272/,Appala Naidu Baddukonda,Yuvajana Sramika Rythu Congress Party,201711,172697,85.6 %,28051,16.2%
Nellore City,117,GEN,https://www.indiavotes.com/district/ac/272/,Anil Kumar Poluboina,Yuvajana Sramika Rythu Congress Party,238757,157209,65.8 %,1988,1.3%
Nellore Rural,118,GEN,https://www.indiavotes.com/district/ac/272/,Kotamreddy Sridhar Reddy,Yuvajana Sramika Rythu Congress Party,254605,164217,64.5 %,20776,12.7%
Nidadavole,55,GEN,https://www.indiavotes.com/district/ac/272/,G. Srinivas Naidu,Yuvajana Sramika Rythu Congress Party,203233,166403,81.9 %,21688,13.0%
Nuzvid ,70,GEN,https://www.indiavotes.com/district/ac/272/,Meka Venkata Pratap Apparao,Yuvajana Sramika Rythu Congress Party,230682,198300,86.0 %,16210,8.2%
Ongole,108,GEN,https://www.indiavotes.com/district/ac/272/,Balineni Srinivasa Reddy (VASU),Yuvajana Sramika Rythu Congress Party,229429,192638,84.0 %,22245,11.5%
Paderu ,29,ST,https://www.indiavotes.com/district/ac/272/,Bhagya Lakshmi Kottagulli,Yuvajana Sramika Rythu Congress Party,227101,132808,58.5 %,42804,32.2%
Palacole,57,GEN,https://www.indiavotes.com/district/ac/272/,Dr. Nimmala Ramanaidu,Telugu Desam,190181,155251,81.6 %,17809,11.5%
Palakonda  (ST),10,ST,https://www.indiavotes.com/district/ac/272/,Viswasarayi Kalavathi,Yuvajana Sramika Rythu Congress Party,184956,133164,72.0 %,17980,13.5%
Palamaner,174,GEN,West Godavari,N Venkate Gowda,Yuvajana Sramika Rythu Congress Party,256084,216396,84.5 %,31616,14.6%
Palasa,2,GEN,https://www.indiavotes.com/district/ac/272/,Appalaraju Seediri,Yuvajana Sramika Rythu Congress Party,206750,147647,71.4 %,16247,11.0%
Pamarru ,77,SC,https://www.indiavotes.com/district/ac/272/,Anil Kumar Kaile,Yuvajana Sramika Rythu Congress Party,180906,155757,86.1 %,30873,19.8%
Panyam,138,GEN,Vizianagaram,Katasani Rambhupal Reddy,Yuvajana Sramika Rythu Congress Party,288231,213073,73.9 %,43857,20.6%
Parchur ,104,GEN,https://www.indiavotes.com/district/ac/272/,Yeluri Samba Sivarao,Telugu Desam,230209,201974,87.7 %,1647,0.8%
Parvathipuram ,12,SC,https://www.indiavotes.com/district/ac/272/,Alajangi Jogarao,Yuvajana Sramika Rythu Congress Party,182853,137154,75.0 %,24199,17.6%
Pathapatnam,4,GEN,https://www.indiavotes.com/district/ac/272/,Reddy Shanthi,Yuvajana Sramika Rythu Congress Party,217880,148382,68.1 %,15551,10.5%
Pattikonda,142,GEN,Visakhapatnam,Kangati Sreedevi,Yuvajana Sramika Rythu Congress Party,206896,166832,80.6 %,42065,25.2%
Payakaraopeta ,33,SC,https://www.indiavotes.com/district/ac/272/,Golla Baburao,Yuvajana Sramika Rythu Congress Party,240676,190536,79.2 %,31189,16.4%
Pedakurapadu,85,GEN,https://www.indiavotes.com/district/ac/272/,Sankara Rao Namburu,Yuvajana Sramika Rythu Congress Party,222779,196488,88.2 %,14104,7.2%
Pedana,74,GEN,https://www.indiavotes.com/district/ac/272/,Jogi Ramesh,Yuvajana Sramika Rythu Congress Party,166214,144441,86.9 %,7839,5.4%
Peddapuram,39,GEN,https://www.indiavotes.com/district/ac/272/,Nimmakayala China Rajappa,Telugu Desam,201959,160856,79.6 %,4027,2.5%
Penamaluru,78,GEN,https://www.indiavotes.com/district/ac/272/,Kolusu Partha Sarathy,Yuvajana Sramika Rythu Congress Party,267795,212379,79.3 %,11317,5.3%
Pendurthi,31,GEN,https://www.indiavotes.com/district/ac/272/,Annamreddy Adeep Raj,Yuvajana Sramika Rythu Congress Party,268875,196634,73.1 %,28860,14.7%
Penukonda,158,GEN,East Godavari,Malagundla Sankaranarayana,Yuvajana Sramika Rythu Congress Party,220550,187561,85.0 %,15058,8.0%
Pileru,163,GEN,East Godavari,Chinthala Ramachandra Reddy,Yuvajana Sramika Rythu Congress Party,223979,176302,78.7 %,7874,4.5%
Pithapuram,37,GEN,https://www.indiavotes.com/district/ac/272/,Dorababu Pendem,Yuvajana Sramika Rythu Congress Party,229724,184343,80.2 %,14992,8.1%
